feature,mean_importance
feature_21,0.0
feature_23,0.0
feature_24,0.0
feature_25,0.0
feature_26,0.0
feature_27,0.0
feature_29,0.0
feature_30,0.0
feature_22,0.0
feature_31,0.0
feature_33,0.0
feature_34,0.0
feature_35,0.0
feature_36,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_32,0.0
feature_40,0.0
feature_41,0.0
feature_11,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_20,0.0
feature_10,0.0
feature_9,0.0
feature_8,0.0
feature_3,0.0
feature_6,0.0
feature_28,0.010607367210420087
feature_4,0.015370931156020774
feature_19,0.0894152368103441
feature_1,0.099024800170119
feature_7,0.2620497340835283
feature_5,1.1498531774336054
