name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,1.167421531378298,1.69
2_DecisionTree,Decision Tree,rmse,0.2913719197590864,5.77
3_Linear,Linear,rmse,0.4636654639596677,4.34
4_Default_Xgboost,Xgboost,rmse,0.16033278617329874,10.91
5_Default_NeuralNetwork,Neural Network,rmse,0.14689689564654237,2.33
6_Default_RandomForest,Random Forest,rmse,0.6547382419170263,8.27
Ensemble,Ensemble,rmse,0.1460955852524078,0.31
