name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,0.9965917972651647,2.66
2_DecisionTree,Decision Tree,rmse,0.4835507060186965,7.33
3_Linear,Linear,rmse,0.6467710456066954,5.75
4_Default_Xgboost,Xgboost,rmse,0.2775082420834083,9.3
5_Default_NeuralNetwork,Neural Network,rmse,0.44868225649619714,3.54
6_Default_RandomForest,Random Forest,rmse,0.4660342400440541,10.39
Ensemble,Ensemble,rmse,0.275039826310201,0.4
