algos,autoKeras_end_time,autoKeras_start_time,autoKeras_total_time,autoMljar_end_time,autoMljar_start_time,autoMljar_total_time,mean_absolute_error_end_time,mean_absolute_error_start_time,mean_absolute_error_total_time,mean_squared_error_end_time,mean_squared_error_start_time,mean_squared_errorr_total_time,median_absolute_error_end_time,median_absolute_error_start_time,median_absolute_error_total_time,nn_end_time,nn_start_time,nn_total_time,r2_end_time,r2_start_time,r2_total_time,root_mean_squared_error_end_time,root_mean_squared_error_start_time,root_mean_squared_error_total_time
620.omnetpp_s,2022-07-05 13:28:21.005664,2022-07-05 13:25:46.986486,0:02:34.019178,2022-07-06 17:41:02.666326,2022-07-06 17:40:21.563971,0:00:41.102355,2022-07-06 05:13:50.177903,2022-07-06 05:08:26.336980,0:05:23.840923,2022-07-06 06:45:01.816702,2022-07-06 06:39:49.806928,0:05:12.009774,2022-07-06 13:55:37.741919,2022-07-06 13:50:17.023075,0:05:20.718844,2022-07-05 13:25:46.986471,2022-07-05 13:24:44.606441,0:01:02.380030,2022-07-06 16:13:33.281002,2022-07-06 16:08:19.324052,0:05:13.956950,2022-07-07 13:30:02.588857,2022-07-07 13:24:43.716878,0:05:18.871979
623.xalancbmk_s,2022-07-05 13:32:53.769906,2022-07-05 13:30:17.316055,0:02:36.453851,2022-07-06 17:41:40.897308,2022-07-06 17:41:02.666346,0:00:38.230962,2022-07-06 05:19:03.800188,2022-07-06 05:13:50.759361,0:05:13.040827,2022-07-06 06:50:14.346192,2022-07-06 06:45:01.966155,0:05:12.380037,2022-07-06 14:00:59.947067,2022-07-06 13:55:38.799175,0:05:21.147892,2022-07-05 13:30:17.316035,2022-07-05 13:28:21.505349,0:01:55.810686,2022-07-06 16:18:44.417290,2022-07-06 16:13:33.396832,0:05:11.020458,2022-07-07 13:35:19.435745,2022-07-07 13:30:02.588875,0:05:16.846870
625.x264_s,2022-07-05 13:35:30.060066,2022-07-05 13:33:58.143197,0:01:31.916869,2022-07-06 17:42:20.901694,2022-07-06 17:41:40.897327,0:00:40.004367,2022-07-06 05:24:24.357566,2022-07-06 05:19:04.416255,0:05:19.941311,2022-07-06 06:55:37.822860,2022-07-06 06:50:14.499740,0:05:23.323120,2022-07-06 14:06:20.733927,2022-07-06 14:01:01.113112,0:05:19.620815,2022-07-05 13:33:58.143183,2022-07-05 13:32:54.292755,0:01:03.850428,2022-07-06 16:23:56.899541,2022-07-06 16:18:44.547875,0:05:12.351666,2022-07-07 13:40:39.709389,2022-07-07 13:35:19.435768,0:05:20.273621
631.deepsjeng_s,2022-07-05 13:38:39.893470,2022-07-05 13:37:06.994650,0:01:32.898820,2022-07-06 17:43:01.321162,2022-07-06 17:42:20.901711,0:00:40.419451,2022-07-06 05:29:38.296703,2022-07-06 05:24:24.963597,0:05:13.333106,2022-07-06 07:00:57.298457,2022-07-06 06:55:37.959033,0:05:19.339424,2022-07-06 14:11:42.344138,2022-07-06 14:06:21.841714,0:05:20.502424,2022-07-05 13:37:06.994637,2022-07-05 13:35:30.585365,0:01:36.409272,2022-07-06 16:29:11.040878,2022-07-06 16:23:57.043395,0:05:13.997483,2022-07-07 13:46:03.682559,2022-07-07 13:40:39.709409,0:05:23.973150
641.leela_s,2022-07-05 13:42:31.810035,2022-07-05 13:39:57.611500,0:02:34.198535,2022-07-06 17:43:46.647359,2022-07-06 17:43:01.321178,0:00:45.326181,2022-07-06 05:34:55.348953,2022-07-06 05:29:38.807931,0:05:16.541022,2022-07-06 07:06:13.221805,2022-07-06 07:00:57.438581,0:05:15.783224,2022-07-06 14:17:04.508243,2022-07-06 14:11:43.454900,0:05:21.053343,2022-07-05 13:39:57.611486,2022-07-05 13:38:40.397343,0:01:17.214143,2022-07-06 16:34:24.206912,2022-07-06 16:29:11.172799,0:05:13.034113,2022-07-07 13:51:24.176185,2022-07-07 13:46:03.682577,0:05:20.493608
648.exchange2_s,2022-07-05 13:46:30.029423,2022-07-05 13:43:55.504105,0:02:34.525318,2022-07-06 17:44:30.661615,2022-07-06 17:43:46.647374,0:00:44.014241,2022-07-06 05:40:09.228085,2022-07-06 05:34:56.024172,0:05:13.203913,2022-07-06 07:11:28.904552,2022-07-06 07:06:13.371069,0:05:15.533483,2022-07-06 14:22:25.662767,2022-07-06 14:17:05.613164,0:05:20.049603,2022-07-05 13:43:55.504092,2022-07-05 13:42:32.360617,0:01:23.143475,2022-07-06 16:39:36.550372,2022-07-06 16:34:24.354764,0:05:12.195608,2022-07-07 13:56:45.642040,2022-07-07 13:51:24.176201,0:05:21.465839
657.xz_s,2022-07-05 13:50:24.059926,2022-07-05 13:48:20.327118,0:02:03.732808,2022-07-06 17:45:19.846712,2022-07-06 17:44:30.661634,0:00:49.185078,2022-07-06 05:45:32.732048,2022-07-06 05:40:09.782611,0:05:22.949437,2022-07-06 07:16:47.745029,2022-07-06 07:11:29.021908,0:05:18.723121,2022-07-06 14:27:47.912628,2022-07-06 14:22:26.782676,0:05:21.129952,2022-07-05 13:48:20.327105,2022-07-05 13:46:30.570606,0:01:49.756499,2022-07-06 16:44:54.438912,2022-07-06 16:39:36.675238,0:05:17.763674,2022-07-07 14:01:59.023944,2022-07-07 13:56:45.642056,0:05:13.381888
401.bzip2,2022-07-05 13:53:42.918084,2022-07-05 13:51:31.979083,0:02:10.939001,2022-07-06 17:46:18.708580,2022-07-06 17:45:19.846729,0:00:58.861851,2022-07-06 05:50:50.669639,2022-07-06 05:45:33.288628,0:05:17.381011,2022-07-06 07:21:57.062182,2022-07-06 07:16:47.880642,0:05:09.181540,2022-07-06 14:32:59.696449,2022-07-06 14:27:49.050754,0:05:10.645695,2022-07-05 13:51:31.979070,2022-07-05 13:50:24.601590,0:01:07.377480,2022-07-06 16:50:12.479570,2022-07-06 16:44:54.580572,0:05:17.898998,2022-07-07 14:07:22.864066,2022-07-07 14:01:59.023963,0:05:23.840103
456.hmmer,2022-07-05 13:57:40.811018,2022-07-05 13:55:12.358880,0:02:28.452138,2022-07-06 17:47:19.424282,2022-07-06 17:46:18.708599,0:01:00.715683,2022-07-06 05:56:10.413512,2022-07-06 05:50:51.164828,0:05:19.248684,2022-07-06 07:27:17.436225,2022-07-06 07:21:57.194516,0:05:20.241709,2022-07-06 14:38:14.241333,2022-07-06 14:33:00.855572,0:05:13.385761,2022-07-05 13:55:12.358861,2022-07-05 13:53:43.501202,0:01:28.857659,2022-07-06 16:55:30.265131,2022-07-06 16:50:12.614383,0:05:17.650748,2022-07-07 14:12:37.362091,2022-07-07 14:07:22.864085,0:05:14.498006
458.sjeng,2022-07-05 14:00:51.309433,2022-07-05 13:58:28.008564,0:02:23.300869,2022-07-06 17:48:19.723070,2022-07-06 17:47:19.424298,0:01:00.298772,2022-07-06 06:01:30.559525,2022-07-06 05:56:10.973632,0:05:19.585893,2022-07-06 07:32:26.667996,2022-07-06 07:27:17.583968,0:05:09.084028,2022-07-06 14:43:31.160117,2022-07-06 14:38:15.366635,0:05:15.793482,2022-07-05 13:58:28.008552,2022-07-05 13:57:41.522578,0:00:46.485974,2022-07-06 17:00:46.123430,2022-07-06 16:55:30.416753,0:05:15.706677,2022-07-07 14:17:52.542784,2022-07-07 14:12:37.362109,0:05:15.180675
462.libquantum,2022-07-05 14:04:28.156337,2022-07-05 14:01:50.546029,0:02:37.610308,2022-07-06 17:49:20.180392,2022-07-06 17:48:19.723090,0:01:00.457302,2022-07-06 06:06:53.384293,2022-07-06 06:01:31.111857,0:05:22.272436,2022-07-06 07:37:35.538135,2022-07-06 07:32:26.806663,0:05:08.731472,2022-07-06 14:48:47.941192,2022-07-06 14:43:32.291233,0:05:15.649959,2022-07-05 14:01:50.546012,2022-07-05 14:00:51.856869,0:00:58.689143,2022-07-06 17:06:09.158781,2022-07-06 17:00:46.270285,0:05:22.888496,2022-07-07 14:23:15.907216,2022-07-07 14:17:52.542804,0:05:23.364412
473.astar,2022-07-05 14:09:04.646308,2022-07-05 14:05:40.855764,0:03:23.790544,2022-07-06 17:50:30.631652,2022-07-06 17:49:20.180406,0:01:10.451246,2022-07-06 06:12:12.645744,2022-07-06 06:06:54.048805,0:05:18.596939,2022-07-06 07:42:56.100459,2022-07-06 07:37:35.668176,0:05:20.432283,2022-07-06 14:54:01.829599,2022-07-06 14:48:49.110671,0:05:12.718928,2022-07-05 14:05:40.855749,2022-07-05 14:04:28.738394,0:01:12.117355,2022-07-06 17:11:22.176552,2022-07-06 17:06:09.314894,0:05:12.861658,2022-07-07 14:28:38.843503,2022-07-07 14:23:15.907234,0:05:22.936269
603.bwaves_s,2022-07-10 09:13:26.202243,2022-07-10 09:11:18.436206,0:02:07.766037,2022-07-10 17:28:08.184298,2022-07-10 17:27:28.153617,0:00:40.030681,2022-07-10 10:29:21.679454,2022-07-10 10:23:36.379734,0:05:45.299720,2022-07-10 15:52:41.769670,2022-07-10 15:47:24.353634,0:05:17.416036,2022-07-11 05:23:23.943237,2022-07-11 05:18:14.037862,0:05:09.905375,2022-07-10 08:26:33.900993,2022-07-10 08:25:45.688360,0:00:48.212633,2022-07-11 12:15:03.096494,2022-07-11 12:09:51.604959,0:05:11.491535,,2022-07-11 05:17:18.255450,
607.cactuBSSN_s,2022-07-10 09:15:44.190518,2022-07-10 09:13:26.306366,0:02:17.884152,2022-07-10 17:28:41.457251,2022-07-10 17:28:08.184312,0:00:33.272939,2022-07-10 10:34:42.954869,2022-07-10 10:29:21.679476,0:05:21.275393,2022-07-10 15:57:52.950888,2022-07-10 15:52:41.769695,0:05:11.181193,2022-07-11 05:29:33.806995,2022-07-11 05:23:23.943252,0:06:09.863743,2022-07-10 08:27:28.922191,2022-07-10 08:26:34.301796,0:00:54.620395,2022-07-11 12:21:05.992669,2022-07-11 12:15:03.096509,0:06:02.896160,,,
619.lbm_s,2022-07-10 09:17:31.503325,2022-07-10 09:15:44.291466,0:01:47.211859,2022-07-10 17:29:14.988601,2022-07-10 17:28:41.457262,0:00:33.531339,2022-07-10 10:40:11.635527,2022-07-10 10:34:42.954891,0:05:28.680636,2022-07-10 16:03:03.991528,2022-07-10 15:57:52.950907,0:05:11.040621,2022-07-11 05:35:34.283468,2022-07-11 05:29:33.807014,0:06:00.476454,2022-07-10 08:28:23.017224,2022-07-10 08:27:29.975010,0:00:53.042214,2022-07-11 12:27:11.317191,2022-07-11 12:21:05.992690,0:06:05.324501,,,
621.wrf_s,2022-07-10 09:19:43.775765,2022-07-10 09:17:31.626803,0:02:12.148962,2022-07-10 17:29:50.695911,2022-07-10 17:29:14.988625,0:00:35.707286,2022-07-10 10:45:39.696330,2022-07-10 10:40:11.635546,0:05:28.060784,2022-07-10 16:08:21.798841,2022-07-10 16:03:03.991548,0:05:17.807293,2022-07-11 05:41:42.069213,2022-07-11 05:35:34.283497,0:06:07.785716,2022-07-10 08:29:33.155756,2022-07-10 08:28:23.392119,0:01:09.763637,2022-07-11 12:33:19.538889,2022-07-11 12:27:11.317209,0:06:08.221680,,,
627.cam4_s,2022-07-10 09:21:36.668004,2022-07-10 09:19:43.881226,0:01:52.786778,2022-07-10 17:30:24.914957,2022-07-10 17:29:50.695923,0:00:34.219034,2022-07-10 10:51:13.307487,2022-07-10 10:45:39.696350,0:05:33.611137,2022-07-10 16:13:41.093838,2022-07-10 16:08:21.798863,0:05:19.294975,2022-07-11 05:47:41.386653,2022-07-11 05:41:42.069231,0:05:59.317422,2022-07-10 08:30:26.718795,2022-07-10 08:29:33.761219,0:00:52.957576,2022-07-11 12:38:33.996065,2022-07-11 12:33:19.538908,0:05:14.457157,,,
628.pop2_s,2022-07-10 09:23:57.974210,2022-07-10 09:21:36.766993,0:02:21.207217,2022-07-10 17:31:01.949345,2022-07-10 17:30:24.914969,0:00:37.034376,2022-07-10 10:56:29.967822,2022-07-10 10:51:13.307507,0:05:16.660315,2022-07-10 16:18:53.272689,2022-07-10 16:13:41.093857,0:05:12.178832,2022-07-11 05:52:54.412343,2022-07-11 05:47:41.386675,0:05:13.025668,2022-07-10 08:31:33.556545,2022-07-10 08:30:27.159161,0:01:06.397384,2022-07-11 12:43:49.503711,2022-07-11 12:38:33.996098,0:05:15.507613,,,
638.imagick_s,2022-07-10 09:26:15.764568,2022-07-10 09:23:58.093331,0:02:17.671237,2022-07-10 17:31:39.186459,2022-07-10 17:31:01.949356,0:00:37.237103,2022-07-10 11:02:03.569180,2022-07-10 10:56:29.967841,0:05:33.601339,2022-07-10 16:24:05.790110,2022-07-10 16:18:53.272712,0:05:12.517398,2022-07-11 05:58:04.647266,2022-07-11 05:52:54.412366,0:05:10.234900,2022-07-10 08:32:48.654121,2022-07-10 08:31:33.964889,0:01:14.689232,2022-07-11 12:49:07.507968,2022-07-11 12:43:49.503739,0:05:18.004229,,,
644.nab_s,2022-07-10 09:28:35.400268,2022-07-10 09:26:15.867421,0:02:19.532847,2022-07-10 17:32:29.417883,2022-07-10 17:31:39.186471,0:00:50.231412,2022-07-10 11:07:32.262442,2022-07-10 11:02:03.569200,0:05:28.693242,2022-07-10 16:29:20.911773,2022-07-10 16:24:05.790130,0:05:15.121643,2022-07-11 06:03:24.655727,2022-07-11 05:58:04.647283,0:05:20.008444,2022-07-10 08:33:37.540931,2022-07-10 08:32:49.047966,0:00:48.492965,2022-07-11 12:54:30.269563,2022-07-11 12:49:07.507987,0:05:22.761576,,,
649.fotonik3d_s,2022-07-10 09:30:46.046578,2022-07-10 09:28:35.514236,0:02:10.532342,2022-07-10 17:33:11.555453,2022-07-10 17:32:29.417894,0:00:42.137559,2022-07-10 11:12:49.956950,2022-07-10 11:07:32.262460,0:05:17.694490,2022-07-10 16:34:35.861464,2022-07-10 16:29:20.911792,0:05:14.949672,2022-07-11 06:09:24.838357,2022-07-11 06:03:24.655747,0:06:00.182610,2022-07-10 08:34:10.247396,2022-07-10 08:33:37.888047,0:00:32.359349,2022-07-11 13:00:29.444490,2022-07-11 12:54:30.269579,0:05:59.174911,,,
654.roms_s,2022-07-10 09:32:44.828363,2022-07-10 09:30:46.148175,0:01:58.680188,2022-07-10 17:33:50.686813,2022-07-10 17:33:11.555467,0:00:39.131346,2022-07-10 11:18:08.220965,2022-07-10 11:12:49.956969,0:05:18.263996,2022-07-10 16:39:51.912567,2022-07-10 16:34:35.861484,0:05:16.051083,2022-07-11 06:14:41.383314,2022-07-11 06:09:24.838376,0:05:16.544938,2022-07-10 08:34:38.694001,2022-07-10 08:34:10.673020,0:00:28.020981,2022-07-11 13:05:42.854133,2022-07-11 13:00:29.444509,0:05:13.409624,,,
416.gamess,2022-07-10 09:34:39.379970,2022-07-10 09:32:44.942979,0:01:54.436991,2022-07-10 17:34:42.712382,2022-07-10 17:33:50.686826,0:00:52.025556,2022-07-10 11:23:38.540159,2022-07-10 11:18:08.220982,0:05:30.319177,2022-07-10 16:45:01.986028,2022-07-10 16:39:51.912584,0:05:10.073444,2022-07-11 06:19:54.471237,2022-07-11 06:14:41.383339,0:05:13.087898,2022-07-10 08:35:26.220581,2022-07-10 08:34:39.110732,0:00:47.109849,2022-07-11 13:10:55.427713,2022-07-11 13:05:42.854151,0:05:12.573562,,,
433.milc,2022-07-10 09:36:48.315084,2022-07-10 09:34:39.500511,0:02:08.814573,2022-07-10 17:35:38.977604,2022-07-10 17:34:42.712397,0:00:56.265207,2022-07-10 11:28:58.105409,2022-07-10 11:23:38.540179,0:05:19.565230,2022-07-10 16:50:13.816487,2022-07-10 16:45:01.986044,0:05:11.830443,2022-07-11 06:25:06.053399,2022-07-11 06:19:54.471259,0:05:11.582140,2022-07-10 08:37:28.560253,2022-07-10 08:35:26.655673,0:02:01.904580,2022-07-11 13:16:12.494982,2022-07-11 13:10:55.427733,0:05:17.067249,,,
434.zeusmp,2022-07-10 09:38:58.173687,2022-07-10 09:36:48.427118,0:02:09.746569,2022-07-10 17:36:44.877794,2022-07-10 17:35:38.977620,0:01:05.900174,2022-07-10 11:34:16.510821,2022-07-10 11:28:58.105430,0:05:18.405391,2022-07-10 16:55:23.751436,2022-07-10 16:50:13.816504,0:05:09.934932,2022-07-11 06:30:16.191289,2022-07-11 06:25:06.053420,0:05:10.137869,2022-07-10 08:38:45.407095,2022-07-10 08:37:28.975094,0:01:16.432001,2022-07-11 13:21:34.523947,2022-07-11 13:16:12.494996,0:05:22.028951,,,
435.gromacs,2022-07-10 09:41:01.754447,2022-07-10 09:38:58.291568,0:02:03.462879,2022-07-10 17:37:39.887974,2022-07-10 17:36:44.877807,0:00:55.010167,2022-07-10 11:39:38.484757,2022-07-10 11:34:16.510840,0:05:21.973917,2022-07-10 17:00:35.814775,2022-07-10 16:55:23.751451,0:05:12.063324,2022-07-11 06:35:26.703014,2022-07-11 06:30:16.191308,0:05:10.511706,2022-07-10 08:39:52.873334,2022-07-10 08:38:45.800517,0:01:07.072817,2022-07-11 13:26:56.771456,2022-07-11 13:21:34.523967,0:05:22.247489,,,
437.leslie3d,2022-07-10 09:43:01.230252,2022-07-10 09:41:01.871758,0:01:59.358494,2022-07-10 17:38:42.859235,2022-07-10 17:37:39.887989,0:01:02.971246,2022-07-10 11:45:03.316868,2022-07-10 11:39:38.484773,0:05:24.832095,2022-07-10 17:05:46.358107,2022-07-10 17:00:35.814792,0:05:10.543315,2022-07-11 06:40:47.790406,2022-07-11 06:35:26.703033,0:05:21.087373,2022-07-10 08:40:47.323690,2022-07-10 08:39:53.302089,0:00:54.021601,2022-07-11 13:32:13.656246,2022-07-11 13:26:56.771472,0:05:16.884774,,,
447.dealII,2022-07-10 09:45:27.107483,2022-07-10 09:43:01.351063,0:02:25.756420,2022-07-10 17:39:44.856282,2022-07-10 17:38:42.859248,0:01:01.997034,2022-07-10 11:50:23.269911,2022-07-10 11:45:03.316912,0:05:19.952999,2022-07-10 17:10:56.809556,2022-07-10 17:05:46.358126,0:05:10.451430,2022-07-11 06:45:59.401098,2022-07-11 06:40:47.790426,0:05:11.610672,2022-07-10 08:41:58.005381,2022-07-10 08:40:47.754285,0:01:10.251096,2022-07-11 13:37:28.747329,2022-07-11 13:32:13.656278,0:05:15.091051,,,
450.soplex,2022-07-10 09:47:21.750180,2022-07-10 09:45:27.224292,0:01:54.525888,2022-07-10 17:40:53.534594,2022-07-10 17:39:44.856299,0:01:08.678295,2022-07-10 11:55:43.024651,2022-07-10 11:50:23.269929,0:05:19.754722,2022-07-10 17:16:07.039383,2022-07-10 17:10:56.809574,0:05:10.229809,2022-07-11 06:51:09.935619,2022-07-11 06:45:59.401120,0:05:10.534499,2022-07-10 08:44:03.336437,2022-07-10 08:41:58.408433,0:02:04.928004,2022-07-11 13:42:42.559924,2022-07-11 13:37:28.747343,0:05:13.812581,,,
453.povray,2022-07-10 09:49:20.478265,2022-07-10 09:47:21.864166,0:01:58.614099,2022-07-10 17:42:00.616985,2022-07-10 17:40:53.534608,0:01:07.082377,2022-07-10 12:01:05.713940,2022-07-10 11:55:43.024671,0:05:22.689269,2022-07-10 17:21:16.555684,2022-07-10 17:16:07.039401,0:05:09.516283,2022-07-11 06:56:21.004469,2022-07-11 06:51:09.935638,0:05:11.068831,2022-07-10 08:45:13.563011,2022-07-10 08:44:03.742029,0:01:09.820982,2022-07-11 13:47:57.539458,2022-07-11 13:42:42.559943,0:05:14.979515,,,
454.calculix,2022-07-10 09:51:18.843765,2022-07-10 09:49:20.596244,0:01:58.247521,2022-07-10 17:43:09.080816,2022-07-10 17:42:00.616999,0:01:08.463817,2022-07-10 12:06:23.177315,2022-07-10 12:01:05.713960,0:05:17.463355,2022-07-10 17:26:26.502849,2022-07-10 17:21:16.555703,0:05:09.947146,2022-07-11 07:01:31.719198,2022-07-11 06:56:21.004487,0:05:10.714711,2022-07-10 08:47:23.498195,2022-07-10 08:45:13.959455,0:02:09.538740,2022-07-11 13:53:09.171154,2022-07-11 13:47:57.539475,0:05:11.631679,,,
