arch,cpu_clock,isa,l1_size,l2_shared_by_cores,l2_size,l3_size,ld_shared_by_cores,mem_clock,mem_size,mem_type,no_of_threads,num-cpus,system_name,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
AMD Opteron 6204,3.3,X86_64,128,1,4,32768,1,1600,64,PC3-12800R,8,8,Supermicro A+ Server 1022G-NTF- AMD Opteron 6204,6.4,,2,4,16,64,6.4 QPI,25.6,3,154.475871
AMD Opteron 6212,2.6,X86_64,256,1,8,32768,1,1600,64,PC3-12800R,16,16,Supermicro A+ Server 1022G-NTF- AMD Opteron 6212,6.4,,2,4,16,64,6.4 QPI,25.6,3,150.757927
AMD Opteron 6220,3,X86_64,256,1,8,32768,1,1600,64,PC3-12800R,16,16,Supermicro A+ Server 1022G-NTF- AMD Opteron 6220,6.4,,2,4,16,64,6.4 QPI,25.6,3,139.79728
AMD Opteron 6234,2.4,X86_64,384,1,12,32768,1,1600,64,PC3-12800R,24,24,Supermicro A+ Server 1022G-NTF- AMD Opteron 6234,6.4,,2,4,16,64,6.4 QPI,25.6,3,150.334373
AMD Opteron 6238,2.6,X86_64,384,1,12,32768,1,1600,64,PC3-12800R,24,24,Supermicro A+ Server 1022G-NTF- AMD Opteron 6238,6.4,,2,4,16,64,6.4 QPI,25.6,3,144.605514
AMD Opteron 6262 HE,1.6,X86_64,512,1,16,32768,1,1600,64,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF AMD Opteron 6262 HE,6.4,,2,4,16,64,6.4 QPI,25.6,3,165.502139
AMD Opteron 6272,2.1,X86_64,512,1,16,32768,1,1600,64,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6272,6.4,,2,4,16,64,6.4 QPI,25.6,3,153.596307
AMD Opteron 6274,2.2,X86_64,512,1,16,32768,1,1600,64,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6274,6.4,,2,4,16,64,6.4 QPI,25.6,3,152.042273
AMD Opteron 6276,2.3,X86_64,512,1,16,32768,1,1600,64,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF AMD Opteron 6276,6.4,,2,4,16,64,6.4 QPI,25.6,3,148.529342
AMD Opteron 6282 SE,2.6,X86_64,512,1,16,32768,1,1600,64,PC3-12800R,32,32,Supermicro A+ Server 1022G-NTF- AMD Opteron 6282 SE,6.4,,2,4,16,64,6.4 QPI,25.6,3,142.474554
AMD Opteron 4274 HE,2.5,X86_64,256,1,8,16384,1,1600,32,PC3-12800R,16,16,Tyan YR190-B8228- AMD Opteron 4274 HE,6.4,,2,4,16,64,6.4 QPI,25.6,3,147.315949
