algos,mean_absolute_error_test_medae,mean_absolute_error_test_medape,mean_absolute_error_test_rmse,mean_absolute_error_train_medae,mean_absolute_error_train_medape,mean_absolute_error_train_rmse,mean_squared_error_test_medae,mean_squared_error_test_medape,mean_squared_error_test_rmse,mean_squared_error_train_medae,mean_squared_error_train_medape,mean_squared_error_train_rmse,median_absolute_error_test_medae,median_absolute_error_test_medape,median_absolute_error_test_rmse,median_absolute_error_train_medae,median_absolute_error_train_medape,median_absolute_error_train_rmse,r2_test_medae,r2_test_medape,r2_test_rmse,r2_train_medae,r2_train_medape,r2_train_rmse,root_mean_squared_error_test_medae,root_mean_squared_error_test_medape,root_mean_squared_error_test_rmse,root_mean_squared_error_train_medae,root_mean_squared_error_train_medape,root_mean_squared_error_train_rmse
SPEC_Float_644.nab_s,0.012653336083161992,2.183855709334246,0.16276324386630464,0.004779742200374526,0.8794406647947766,0.1346088004855993,0.03409105563736964,6.223299955164139,0.444861569041387,0.03257487756206312,5.8095700577754315,0.5201401757478326,0.03234151279147657,6.116977534423144,0.45890897869581204,0.0324265007865982,6.022138915956666,0.5260406513096357,0.03409105563736964,6.223299955164139,0.444861569041387,0.03257487756206312,5.8095700577754315,0.5201401757478326,,,,,,
SPEC_Float_649.fotonik3d_s,0.026539532484805,2.553275910579319,0.10412610656168213,0.012357338002410012,1.2116072237982738,0.11885740074998234,0.04334164324871217,4.149325490561546,0.12636046322100347,0.03707681057369794,3.513937055930648,0.3163177164953702,0.04250481621633709,4.350902757592221,0.1218300898354885,0.036015853617053395,3.5679194441616255,0.3184184662622715,0.04334164324871217,4.149325490561546,0.12636046322100347,0.03707681057369794,3.513937055930648,0.3163177164953702,,,,,,
SPEC_Float_654.roms_s,0.015673153557192676,3.213071780347677,0.07576476900274728,0.006679616988430281,1.3383356540260873,0.0764594574149435,0.038822846713798695,8.429360237916494,0.16660365002525296,0.0323821929711916,7.0813732436841015,0.302558168767064,0.03689294504606532,8.4502165900394,0.17450974379001474,0.03234885619940697,7.351090212627394,0.3084834548589351,0.038822846713798695,8.429360237916494,0.16660365002525296,0.0323821929711916,7.0813732436841015,0.302558168767064,,,,,,
SPEC_Float_416.gamess,0.014807772506309757,0.5156673825881227,0.25253024541187014,0.0063544425803973015,0.23854356852054254,0.10278672133196576,0.10269715102521286,3.8717301982041574,0.35397601959013525,0.10028120832817766,3.80926201447863,0.23679432427769806,0.10269715102521286,3.8717301982041574,0.35397601959013525,0.10028120832817766,3.80926201447863,0.23679432427769806,0.10269715102521286,3.8717301982041574,0.35397601959013525,0.10028120832817766,3.80926201447863,0.23679432427769806,,,,,,
SPEC_Float_433.milc,0.011863951749671253,1.3165197775234454,0.2512385448431954,0.005971665902614998,0.703375275869492,0.1411028463255783,0.07588541427896206,7.0032195330187665,0.32046088338238976,0.0700648210644004,6.975753847868543,0.24035136704869695,0.07588541427896206,7.0032195330187665,0.32046088338238976,0.0700648210644004,6.975753847868543,0.24035136704869695,0.07588541427896206,7.0032195330187665,0.32046088338238976,0.0700648210644004,6.975753847868543,0.24035136704869695,,,,,,
SPEC_Float_434.zeusmp,0.009676306269419399,1.7332684654348327,0.24585833194428566,0.00378482711826722,0.6346801423542399,0.13748080809847385,0.09943516494425703,16.35084669238902,0.41624537876215334,0.0918691672976944,15.466256103228421,0.31231596563918246,0.09943516494425703,16.35084669238902,0.41624537876215334,0.0918691672976944,15.466256103228421,0.31231596563918246,0.09943516494425703,16.35084669238902,0.41624537876215334,0.0918691672976944,15.466256103228421,0.31231596563918246,,,,,,
SPEC_Float_435.gromacs,0.011727460366281112,0.6442058748779789,0.25498409455850196,0.005275007122058528,0.25583507105666475,0.13386692175896014,0.097990338297297,4.602996752739781,0.3282749888946853,0.09482511748197778,4.475838876490545,0.26395412484556074,0.097990338297297,4.602996752739781,0.3282749888946853,0.09482511748197778,4.475838876490545,0.26395412484556074,0.097990338297297,4.602996752739781,0.3282749888946853,0.09482511748197778,4.475838876490545,0.26395412484556074,,,,,,
SPEC_Float_437.leslie3d,0.012785375067120963,2.589962757675476,0.1690182167708209,0.005150766540048313,1.3425180294324601,0.13713027095695632,0.08775958202535494,14.5789396158703,0.3995749175220076,0.08931005387809382,17.091147372066537,0.34571835695348635,0.08775958202535494,14.5789396158703,0.3995749175220076,0.08931005387809382,17.091147372066537,0.34571835695348635,0.08775958202535494,14.5789396158703,0.3995749175220076,0.08931005387809382,17.091147372066537,0.34571835695348635,,,,,,
SPEC_Float_447.dealII,0.01634192851346064,0.7410196788078567,0.35016011945749176,0.005171683836466184,0.27161425149006496,0.1480129452595243,0.1061609064466533,5.161807794327973,0.4358151120483469,0.10010320558590366,4.909534173173265,0.32329570828538784,0.1061609064466533,5.161807794327973,0.4358151120483469,0.10010320558590366,4.909534173173265,0.32329570828538784,0.1061609064466533,5.161807794327973,0.4358151120483469,0.10010320558590366,4.909534173173265,0.32329570828538784,,,,,,
SPEC_Float_450.soplex,0.01521318437325625,0.9350276154288564,0.1306715211531424,0.00788630255702838,0.45481964719994916,0.06749711841121427,0.09954832461694732,5.340072402006295,0.25055907720945414,0.09236554929170121,4.924392926967865,0.19466002696366,0.09954832461694732,5.340072402006295,0.25055907720945414,0.09236554929170121,4.924392926967865,0.19466002696366,0.09954832461694732,5.340072402006295,0.25055907720945414,0.09236554929170121,4.924392926967865,0.19466002696366,,,,,,
SPEC_Float_453.povray,0.009498281943635986,0.4867215567807728,0.19184918608671891,0.005022094111701125,0.2365130956132055,0.06824072515079894,0.10511545535337563,4.935915138151879,0.32724615078121805,0.10002070529780915,4.69880689053869,0.22443860612509306,0.10511545535337563,4.935915138151879,0.32724615078121805,0.10002070529780915,4.69880689053869,0.22443860612509306,0.10511545535337563,4.935915138151879,0.32724615078121805,0.10002070529780915,4.69880689053869,0.22443860612509306,,,,,,
SPEC_Float_454.calculix,0.00916749970434251,0.610775160645717,0.24716544717921393,0.004785473454153921,0.2995749696161664,0.1256206919810351,0.09590353208963906,4.787136629075767,0.3696165653723577,0.09154388394437973,4.557051607325871,0.26635648076455964,0.09590353208963906,4.787136629075767,0.3696165653723577,0.09154388394437973,4.557051607325871,0.26635648076455964,0.09590353208963906,4.787136629075767,0.3696165653723577,0.09154388394437973,4.557051607325871,0.26635648076455964,,,,,,
