sys,sysname,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem_size,mem_type,mem_clock,num_cpus,bus_speed,system,executable,PS,no_of_procs,runtime
lab007068,Dell_Optiplex_3040,IntelCorei56500_DDR42400_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,4,4096,lab007068,npb_sp.B.x_2,B,2,191.22
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_1,B,1,117.41
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_3,B,3,119.3
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_11,B,11,121.23
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_7,B,7,115.06
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_12,B,12,120.77
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_6,B,6,114.92
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_5,B,5,115
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_10,B,10,119.57
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_8,B,8,114.31
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_9,B,9,119.29
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_2,B,2,118.45
cep002,Dell_Optiplex_3060,InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,4096,cep002,npb_sp.B.x_4,B,4,114.71
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_1,B,1,271.15
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_32,B,32,82.38
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_22,B,22,79.87
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_16,B,16,64.21
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_13,B,13,76.5
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_20,B,20,68.61
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_3,B,3,274.83
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_30,B,30,61.24
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_11,B,11,99.49
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_7,B,7,179.06
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp.B.x_17,B,17,67.42
