name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,0.8821219734784069,1.6
2_DecisionTree,Decision Tree,rmse,0.3581215062516436,4.21
3_Linear,Linear,rmse,0.5323428360353926,4.3
4_Default_Xgboost,Xgboost,rmse,0.18279905547193193,7.34
5_Default_NeuralNetwork,Neural Network,rmse,0.33487073040224374,2.4
6_Default_RandomForest,Random Forest,rmse,0.2767799162830802,10.02
Ensemble,Ensemble,rmse,0.18279905357047005,0.29
