algo,nnmodel_train_rmse,autokerasmodel_train_rmse,autopytorchmodel_train_rmse,automljarmodel_train_rmse,nnmodel_test_rmse,autokerasmodel_test_rmse,autopytorchmodel_test_rmse,automljarmodel_test_rmse,nnmodel_train_medae,autokerasmodel_train_medae,autopytorchmodel_train_medae,automljarmodel_train_medae,nnmodel_test_medae,autokerasmodel_test_medae,autopytorchmodel_test_medae,automljarmodel_test_medae,nnmodel_train_medape,autokerasmodel_train_medape,autopytorchmodel_train_medape,automljarmodel_train_medape,nnmodel_test_medape,autokerasmodel_test_medape,autopytorchmodel_test_medape,automljarmodel_test_medape
603.bwaves_s,0.10890656845497329,0.17306294677797998,0.06654876978144343,0.11294228315285673,0.19240256551453042,0.20567359883403735,0.1586250119759253,0.16873555758658526,0.03578303415973608,0.06752785746666018,0.008951042278028176,0.047320451497577146,0.03907136901393725,0.0708752696069749,0.019493431546701384,0.04693579040781021,5.125659756223728,9.60409862930113,1.143885083550621,6.589280105482487,5.387508905827755,10.04079320267422,2.3010010866279518,6.333547398475526
607.cactuBSSN_s,0.1530370448795743,0.16392087561782973,0.14763450910409198,0.07125991233278436,0.13073168116388334,0.16168136463593702,0.09478029260574965,0.09356504464334983,0.027998215689997177,0.06619167982064678,0.007950318378422139,0.014277096925951749,0.02604070019833364,0.0719854640428564,0.018292303003255225,0.018212765668317154,4.62805950387498,10.03377903301517,1.2466576729405605,2.250702860645832,4.486459912579676,10.91002345975059,2.781552133774454,2.9603882375750183
619.lbm_s,0.36365935587603415,0.4123163494811545,0.38094469724278396,0.3382915171799673,0.37027593846048845,0.40110624446409004,0.3884918928153197,0.37227746149437074,0.036657695732680434,0.09216581540330548,0.025528388217301717,0.0268260412039307,0.03968190034181983,0.09634720350504289,0.027650637658294563,0.03201537356512105,7.138027567778122,17.80230668001895,5.375505362629556,5.319013977244538,8.23043854971592,18.970839851423122,5.695743178931744,5.563050277564068
621.wrf_s,0.1456352154053802,0.21043157433642715,0.1335545268017086,0.12586696759955826,0.178988905502664,0.2507657977243005,0.1798733671370814,0.18060893712776208,0.040670482703761,0.09013554464020412,0.014099664144726742,0.033228202574841936,0.054173641497078345,0.0948161753069886,0.031591791429449206,0.03452315605368882,3.5413892312751396,7.887096756863701,1.2984065766039432,2.7961165609007375,4.673366283656184,7.9816214869010995,2.564980401748233,3.0897145519381235
627.cam4_s,0.16933467363351823,0.37625473250862046,0.3505529387379595,0.22014875618549656,0.9580997686597204,0.33097677115573876,0.15746032457737147,0.4588356457035838,0.03835681829466331,0.11149340651469308,0.008604917235344234,0.027638107827278838,0.043331905286342925,0.12651885876824992,0.02342064567904084,0.027219170400514962,5.716180434717132,15.045684105831636,1.2397770360788218,4.1056498951840785,6.223491783801461,15.140894896076608,3.4075208654324785,4.111304888178411
628.pop2_s,0.17150344391193129,0.22068767106821097,0.16808370811787124,0.18659946929703203,0.20531109848149087,0.220868514385243,0.19515271279101917,0.1951308196807092,0.05554686467558745,0.08792001008052958,0.022569420462816958,0.06444941830719503,0.07151732018372663,0.09906419392465948,0.057046425438072645,0.06716807208183527,3.1452758949733477,5.235130174865323,1.3100434567191537,3.7247448125747247,4.099650813763929,6.021925622920612,3.2449793231846202,3.6746455667633633
638.imagick_s,0.14105061967266505,0.17381528018146947,0.08793341004318656,0.07784485540972187,0.1456591236702033,0.200936718002933,0.1127752264921522,0.10275614172398678,0.01840839325636845,0.06803371249870993,0.004883049363495477,0.014133414257609334,0.021794285076410874,0.06765250818276722,0.01264590570377674,0.015397262976764338,5.229929348048572,18.684295433735322,1.2899524394994555,3.7321349140420743,6.076411080170166,18.198060885871943,3.2257043610192753,4.049169032170925
644.nab_s,0.20970066969679102,0.2294484447695536,0.1346088004855993,0.11725499142656998,0.19091939641888384,0.2616977525981039,0.16276324386630464,0.16657308203930477,0.030482101216477653,0.080256526180298,0.004779742200374526,0.007542123208111762,0.03191315284863047,0.08530846628544544,0.012653336083161992,0.013531799335497086,5.731471220722674,12.535660155773002,0.8794406647947766,1.348375714702133,5.614555891090989,12.786752858466762,2.183855709334246,2.5153587125943124
649.fotonik3d_s,0.13004804789126778,0.13369979786202194,0.11885740074998234,0.133877779909639,0.11147999007085099,0.16892136488485515,0.10412610656168213,0.11018363276068212,0.042297010280652636,0.06176975285853825,0.012357338002410012,0.04938316757704181,0.0486157844153354,0.06901273500581034,0.026539532484805,0.04637479795085797,4.149962221751161,6.261198227901847,1.2116072237982738,4.960843941971026,4.4532770699086255,6.740350535621231,2.553275910579319,4.927002205477886
654.roms_s,0.13286156109040778,0.11867777617231047,0.0764594574149435,0.1168261467073881,0.1638734371574184,0.15161077948178936,0.07576476900274728,0.13613543875102374,0.036571678043554684,0.06056331895217426,0.006679616988430281,0.041406741394226676,0.04159714426572726,0.06657852491340399,0.015673153557192676,0.0439407750666686,7.161043958461908,12.191409545643651,1.3383356540260873,8.575797889618666,8.61245330438086,13.429835949849702,3.213071780347677,9.405634497755095
416.gamess,0.12929914382997806,0.42557767641339006,0.10278672133196576,0.12089677802011214,0.2658323613874508,0.5515920242271275,0.25253024541187014,0.2636648326539723,0.03936462197254827,0.18959491572916948,0.0063544425803973015,0.045354586402584635,0.048589480389841344,0.23399861701784286,0.014807772506309757,0.04988756294054346,1.5317943109479744,7.194370197113654,0.23854356852054254,1.728844443869084,1.805728884185604,9.286269329665576,0.5156673825881227,2.102941068598005
433.milc,0.1352166765455132,0.2091497095542648,0.1411028463255783,0.13460392873397842,0.2512207717748651,0.2959557889469163,0.2512385448431954,0.22533639024572694,0.02152192897734169,0.06085949625519423,0.005971665902614998,0.01913086556790152,0.02606776517603615,0.07628803689266184,0.011863951749671253,0.02111149181361676,2.43171794359126,7.053876405053272,0.703375275869492,1.9650000136189232,2.8513859261676897,8.231956490444043,1.3165197775234454,2.2314000926101913
434.zeusmp,0.145942574656489,0.3318705232895284,0.13748080809847385,0.1386269164523574,0.26548219859705874,0.38516095299779696,0.24585833194428566,0.24316429968701136,0.03297700733527226,0.12750336915765223,0.00378482711826722,0.00650874281344313,0.03946224663452763,0.15925388042670374,0.009676306269419399,0.01151775107396058,4.451035961295128,15.805372470776211,0.6346801423542399,1.0378380763825814,5.097473899217485,17.675004138816952,1.7332684654348327,1.7145772351558661
435.gromacs,0.14889480936124921,0.377561813731431,0.13386692175896014,0.17322074968040352,0.2777001061167052,0.4921199571172169,0.25498409455850196,0.2595242283468548,0.044464921385863165,0.18061754637624805,0.005275007122058528,0.05245917469763689,0.05198082938737639,0.193942048428128,0.011727460366281112,0.05235090568947937,2.1530369375687397,8.574198669253187,0.25583507105666475,2.5185746350755616,2.249286367077289,8.699542839644138,0.6442058748779789,2.555356710834678
437.leslie3d,0.17281666045843824,0.2566179454614507,0.13713027095695632,0.13888743800026562,0.21959810675047897,0.31467683167931904,0.1690182167708209,0.1733293257243755,0.04250943984226241,0.06671065698392958,0.005150766540048313,0.012841741843457127,0.04771608181787945,0.0806462737914998,0.012785375067120963,0.01976761576425662,6.694017962675657,12.449347763377043,1.3425180294324601,2.2423158956939444,5.967700158043142,13.29325840297052,2.589962757675476,2.9167059478179502
447.dealII,0.18629991904879661,0.3352266581787863,0.1480129452595243,0.15178844224484103,0.3234868176017054,0.43510371176111196,0.35016011945749176,0.31429140831095503,0.05634385477401005,0.16840103505866158,0.005171683836466184,0.03992546107155011,0.0639397608968148,0.19176541260149857,0.01634192851346064,0.05040987953318557,2.64322438802114,7.879271448198404,0.27161425149006496,1.9025766742557253,3.0407499970747325,9.169695284634727,0.7410196788078567,2.202970385211239
450.soplex,0.08432174261951882,0.2356407077001662,0.06749711841121427,0.06237703605006526,0.17225813515212127,0.3156745846009766,0.1306715211531424,0.12929829750436653,0.026593423394400628,0.0939345605066958,0.00788630255702838,0.013896655636101984,0.0358632992829816,0.11132199063884005,0.01521318437325625,0.02084005728183353,1.6044456310044062,5.80874585268273,0.45481964719994916,0.816826010811248,1.9002416562832036,6.578047277846737,0.9350276154288564,1.1135291653614212
453.povray,0.1089347694761515,0.3147039608420601,0.06824072515079894,0.06705071180354152,0.21744307194565393,0.43607103401980696,0.19184918608671891,0.18654143517755278,0.034478425146935346,0.13641250668371574,0.005022094111701125,0.013925306283179062,0.04027981371694987,0.17993713755810334,0.009498281943635986,0.02028352753451486,1.518407143408399,7.297597076272257,0.2365130956132055,0.6175577861216643,1.7862016820863966,8.481342640362556,0.4867215567807728,0.9296256631524673
454.calculix,0.10991018437928814,0.3120731922419558,0.1256206919810351,0.12009891319711917,0.336764616460775,0.396828789995636,0.24716544717921393,0.2714836170504325,0.026974816268128074,0.11004826668649678,0.004785473454153921,0.031458357749793775,0.031267421693352115,0.13194539576108946,0.00916749970434251,0.038296716117592444,1.5469320179864496,6.774740644983433,0.2995749696161664,1.75135855273559,1.8796239191614719,7.6979930450122716,0.610775160645717,2.171659771960586
