feature,weight
intercept,0.013039564288023857
feature_1,-0.05818562524782478
feature_3,-0.021005278749825496
feature_4,-0.7020902764556733
feature_5,-0.2762599230727335
feature_6,-0.11181838562301422
feature_7,-9763343039154.855
feature_8,-7396529024814.039
feature_9,-10315378539635.43
feature_10,-7368678403718.45
feature_11,-3064014891589.5327
feature_12,-707596576026.0315
feature_13,1708720157195.4207
feature_14,-0.176692945854808
